program_id,turn,status,latency_s,prompt_tokens,completion_tokens
bench-ab-20260915-155644-default-s000,0,200,10.438,61284,36
bench-ab-20260915-155644-default-s000,1,200,160.806,61349,73
bench-ab-20260915-155644-default-s000,2,200,152.872,61451,60
bench-ab-20260915-155644-default-s001,0,200,11.135,61059,32
bench-ab-20260915-155644-default-s001,1,200,162.8,61120,75
bench-ab-20260915-155644-default-s001,2,200,151.826,61224,52
bench-ab-20260915-155644-default-s002,0,200,14.315,61317,37
bench-ab-20260915-155644-default-s002,1,200,162.283,61383,80
bench-ab-20260915-155644-default-s002,2,200,150.837,61493,44
bench-ab-20260915-155644-default-s003,0,200,19.434,61360,51
bench-ab-20260915-155644-default-s003,1,200,158.089,61440,68
bench-ab-20260915-155644-default-s003,2,200,156.191,61537,62
bench-ab-20260915-155644-default-s004,0,200,16.438,61301,31
bench-ab-20260915-155644-default-s004,1,200,153.228,61361,45
bench-ab-20260915-155644-default-s004,2,200,150.372,61435,54
bench-ab-20260915-155644-default-s005,0,200,19.181,61056,36
bench-ab-20260915-155644-default-s005,1,200,149.036,61121,26
bench-ab-20260915-155644-default-s005,2,200,143.013,61176,28
bench-ab-20260915-155644-default-s006,0,200,19.971,61033,31
bench-ab-20260915-155644-default-s006,1,200,153.835,61093,41
bench-ab-20260915-155644-default-s006,2,200,149.533,61163,38
bench-ab-20260915-155644-default-s007,0,200,21.792,61210,32
bench-ab-20260915-155644-default-s007,1,200,149.619,61271,25
bench-ab-20260915-155644-default-s007,2,200,145.807,61325,30
bench-ab-20260915-155644-default-s008,0,200,23.516,61147,31
bench-ab-20260915-155644-default-s008,1,200,155.841,61207,49
bench-ab-20260915-155644-default-s008,2,200,162.012,61285,80
bench-ab-20260915-155644-default-s009,0,200,27.284,61284,40
bench-ab-20260915-155644-default-s009,1,200,153.728,61353,49
bench-ab-20260915-155644-default-s009,2,200,155.653,61431,53
bench-ab-20260915-155644-default-s010,0,200,27.875,61477,35
bench-ab-20260915-155644-default-s010,1,200,148.865,61541,24
bench-ab-20260915-155644-default-s010,2,200,150.308,61594,31
bench-ab-20260915-155644-default-s011,0,200,30.985,61197,41
bench-ab-20260915-155644-default-s011,1,200,153.654,61267,49
bench-ab-20260915-155644-default-s011,2,200,155.721,61345,54
bench-ab-20260915-155644-default-s012,0,200,36.403,61205,55
bench-ab-20260915-155644-default-s012,1,200,152.437,61289,43
bench-ab-20260915-155644-default-s012,2,200,151.552,61361,40
bench-ab-20260915-155644-default-s013,0,200,34.135,61232,39
bench-ab-20260915-155644-default-s013,1,200,147.602,61300,30
bench-ab-20260915-155644-default-s013,2,200,153.37,61359,43
bench-ab-20260915-155644-default-s014,0,200,34.009,61218,31
bench-ab-20260915-155644-default-s014,1,200,157.588,61278,63
bench-ab-20260915-155644-default-s014,2,200,160.368,61370,80
bench-ab-20260915-155644-default-s015,0,200,39.773,61376,48
bench-ab-20260915-155644-default-s015,1,200,153.155,61453,45
bench-ab-20260915-155644-default-s015,2,200,152.681,61527,47
bench-ab-20260915-155644-default-s016,0,200,37.559,61206,31
bench-ab-20260915-155644-default-s016,1,200,148.05,61266,25
bench-ab-20260915-155644-default-s016,2,200,150.466,61320,33
bench-ab-20260915-155644-default-s017,0,200,41.032,61376,38
bench-ab-20260915-155644-default-s017,1,200,151.868,61443,39
bench-ab-20260915-155644-default-s017,2,200,150.85,61511,34
bench-ab-20260915-155644-default-s018,0,200,41.213,61145,32
bench-ab-20260915-155644-default-s018,1,200,160.575,61206,67
bench-ab-20260915-155644-default-s018,2,200,149.192,61302,55
bench-ab-20260915-155644-default-s019,0,200,47.039,61296,49
bench-ab-20260915-155644-default-s019,1,200,156.976,61374,61
bench-ab-20260915-155644-default-s019,2,200,151.412,61464,51
bench-ab-20260915-155644-default-s020,0,200,45.162,61351,34
bench-ab-20260915-155644-default-s020,1,200,157.522,61414,65
bench-ab-20260915-155644-default-s020,2,200,147.885,61508,47
bench-ab-20260915-155644-default-s021,0,200,48.591,61176,41
bench-ab-20260915-155644-default-s021,1,200,159.315,61246,63
bench-ab-20260915-155644-default-s021,2,200,154.905,61338,73
bench-ab-20260915-155644-default-s022,0,200,47.944,61133,30
bench-ab-20260915-155644-default-s022,1,200,155.499,61192,53
bench-ab-20260915-155644-default-s022,2,200,150.853,61274,55
bench-ab-20260915-155644-default-s023,0,200,53.853,61230,48
bench-ab-20260915-155644-default-s023,1,200,162.016,61307,80
bench-ab-20260915-155644-default-s023,2,200,152.612,61417,51
bench-ab-20260915-155644-default-s024,0,200,51.736,61146,33
bench-ab-20260915-155644-default-s024,1,200,161.947,61208,80
bench-ab-20260915-155644-default-s024,2,200,147.994,61318,48
bench-ab-20260915-155644-default-s025,0,200,59.406,61200,56
bench-ab-20260915-155644-default-s025,1,200,156.529,61285,59
bench-ab-20260915-155644-default-s025,2,200,157.331,61373,64
bench-ab-20260915-155644-default-s026,0,200,55.474,60923,34
bench-ab-20260915-155644-default-s026,1,200,153.602,60986,48
bench-ab-20260915-155644-default-s026,2,200,149.925,61063,53
bench-ab-20260915-155644-default-s027,0,200,60.741,61251,47
bench-ab-20260915-155644-default-s027,1,200,153.899,61327,47
bench-ab-20260915-155644-default-s027,2,200,145.081,61403,27
bench-ab-20260915-155644-default-s028,0,200,58.499,61163,31
bench-ab-20260915-155644-default-s028,1,200,153.512,61223,52
bench-ab-20260915-155644-default-s028,2,200,150.245,61304,59
bench-ab-20260915-155644-default-s029,0,200,63.551,61335,44
bench-ab-20260915-155644-default-s029,1,200,150.516,61408,30
bench-ab-20260915-155644-default-s029,2,200,157.184,61467,80
bench-ab-20260915-155644-default-s030,0,200,63.094,61216,36
bench-ab-20260915-155644-default-s030,1,200,154.018,61281,51
bench-ab-20260915-155644-default-s030,2,200,151.737,61361,41
bench-ab-20260915-155644-default-s031,0,200,64.258,61328,33
bench-ab-20260915-155644-default-s031,1,200,159.704,61390,56
bench-ab-20260915-155644-default-s031,2,200,156.573,61475,66
bench-ab-20260915-155644-default-s032,0,200,63.923,61192,25
bench-ab-20260915-155644-default-s032,1,200,153.838,61246,39
bench-ab-20260915-155644-default-s032,2,200,153.111,61314,43
bench-ab-20260915-155644-default-s033,0,200,67.253,61314,30
bench-ab-20260915-155644-default-s033,1,200,156.458,61373,49
bench-ab-20260915-155644-default-s033,2,200,148.335,61451,40
bench-ab-20260915-155644-default-s034,0,200,68.528,61117,29
bench-ab-20260915-155644-default-s034,1,200,157.655,61175,51
bench-ab-20260915-155644-default-s034,2,200,158.524,61255,75
bench-ab-20260915-155644-default-s035,0,200,71.067,61247,31
bench-ab-20260915-155644-default-s035,1,200,160.409,61307,65
bench-ab-20260915-155644-default-s035,2,200,155.35,61401,54
bench-ab-20260915-155644-default-s036,0,200,73.079,61080,33
bench-ab-20260915-155644-default-s036,1,200,156.795,61142,51
bench-ab-20260915-155644-default-s036,2,200,159.514,61222,80
bench-ab-20260915-155644-default-s037,0,200,76.695,61049,40
bench-ab-20260915-155644-default-s037,1,200,150.899,61118,36
bench-ab-20260915-155644-default-s037,2,200,153.424,61183,56
bench-ab-20260915-155644-default-s038,0,200,81.201,61161,51
bench-ab-20260915-155644-default-s038,1,200,151.654,61241,34
bench-ab-20260915-155644-default-s038,2,200,152.17,61304,42
bench-ab-20260915-155644-default-s039,0,200,79.286,61138,36
bench-ab-20260915-155644-default-s039,1,200,150.574,61203,37
bench-ab-20260915-155644-default-s039,2,200,152.558,61269,47
bench-ab-20260915-155644-default-s040,0,200,80.638,61051,35
bench-ab-20260915-155644-default-s040,1,200,158.118,61115,66
bench-ab-20260915-155644-default-s040,2,200,153.939,61210,50
bench-ab-20260915-155644-default-s041,0,200,81.884,61122,33
bench-ab-20260915-155644-default-s041,1,200,155.926,61184,48
bench-ab-20260915-155644-default-s041,2,200,151.62,61261,45
bench-ab-20260915-155644-default-s042,0,200,82.851,61200,29
bench-ab-20260915-155644-default-s042,1,200,153.846,61258,37
bench-ab-20260915-155644-default-s042,2,200,152.606,61324,52
bench-ab-20260915-155644-default-s043,0,200,85.513,61303,33
bench-ab-20260915-155644-default-s043,1,200,155.961,61365,48
bench-ab-20260915-155644-default-s043,2,200,155.568,61442,61
bench-ab-20260915-155644-default-s044,0,200,87.02,61295,31
bench-ab-20260915-155644-default-s044,1,200,157.539,61355,53
bench-ab-20260915-155644-default-s044,2,200,152.357,61437,46
bench-ab-20260915-155644-default-s045,0,200,89.03,61213,33
bench-ab-20260915-155644-default-s045,1,200,155.983,61275,48
bench-ab-20260915-155644-default-s045,2,200,151.092,61352,36
bench-ab-20260915-155644-default-s046,0,200,94.087,61213,45
bench-ab-20260915-155644-default-s046,1,200,148.164,61287,30
bench-ab-20260915-155644-default-s046,2,200,148.833,61346,31
bench-ab-20260915-155644-default-s047,0,200,93.962,61117,38
bench-ab-20260915-155644-default-s047,1,200,152.815,61184,41
bench-ab-20260915-155644-default-s047,2,200,152.863,61254,36
bench-ab-20260915-155644-default-s048,0,200,95.915,61184,38
bench-ab-20260915-155644-default-s048,1,200,150.529,61251,33
bench-ab-20260915-155644-default-s048,2,200,150.107,61313,32
bench-ab-20260915-155644-default-s049,0,200,97.598,61280,38
bench-ab-20260915-155644-default-s049,1,200,152.662,61347,41
bench-ab-20260915-155644-default-s049,2,200,152.152,61417,41
bench-ab-20260915-155644-default-s050,0,200,101.587,61063,47
bench-ab-20260915-155644-default-s050,1,200,162.313,61139,80
bench-ab-20260915-155644-default-s050,2,200,159.754,61249,80
bench-ab-20260915-155644-default-s051,0,200,101.329,61150,39
bench-ab-20260915-155644-default-s051,1,200,150.268,61218,40
bench-ab-20260915-155644-default-s051,2,200,151.388,61287,36
bench-ab-20260915-155644-default-s052,0,200,103.766,61250,42
bench-ab-20260915-155644-default-s052,1,200,157.016,61321,61
bench-ab-20260915-155644-default-s052,2,200,158.765,61411,80
bench-ab-20260915-155644-default-s053,0,200,106.375,61161,45
bench-ab-20260915-155644-default-s053,1,200,150.101,61235,30
bench-ab-20260915-155644-default-s053,2,200,147.087,61294,32
bench-ab-20260915-155644-default-s054,0,200,104.676,61268,31
bench-ab-20260915-155644-default-s054,1,200,162.485,61328,80
bench-ab-20260915-155644-default-s054,2,200,151.29,61438,46
bench-ab-20260915-155644-default-s055,0,200,108.31,61137,38
bench-ab-20260915-155644-default-s055,1,200,151.764,61204,37
bench-ab-20260915-155644-default-s055,2,200,150.602,61270,53
bench-ab-20260915-155644-default-s056,0,200,111.256,61169,43
bench-ab-20260915-155644-default-s056,1,200,153.174,61241,40
bench-ab-20260915-155644-default-s056,2,200,160.508,61310,80
bench-ab-20260915-155644-default-s057,0,200,110.57,61243,34
bench-ab-20260915-155644-default-s057,1,200,150.706,61306,36
bench-ab-20260915-155644-default-s057,2,200,153.076,61371,54
bench-ab-20260915-155644-default-s058,0,200,117.09,61042,51
bench-ab-20260915-155644-default-s058,1,200,156.721,61122,56
bench-ab-20260915-155644-default-s058,2,200,150.144,61207,40
bench-ab-20260915-155644-default-s059,0,200,113.379,61085,30
bench-ab-20260915-155644-default-s059,1,200,153.827,61144,45
bench-ab-20260915-155644-default-s059,2,200,154.144,61218,52
bench-ab-20260915-155644-default-s060,0,200,115.03,61157,30
bench-ab-20260915-155644-default-s060,1,200,154.226,61216,45
bench-ab-20260915-155644-default-s060,2,200,148.109,61290,30
bench-ab-20260915-155644-default-s061,0,200,117.696,61189,33
bench-ab-20260915-155644-default-s061,1,200,158.321,61251,58
bench-ab-20260915-155644-default-s061,2,200,161.422,61338,80
bench-ab-20260915-155644-default-s062,0,200,118.744,61264,30
bench-ab-20260915-155644-default-s062,1,200,156.177,61323,47
bench-ab-20260915-155644-default-s062,2,200,152.182,61399,46
bench-ab-20260915-155644-default-s063,0,200,120.419,61324,29
bench-ab-20260915-155644-default-s063,1,200,151.265,61382,27
bench-ab-20260915-155644-default-s063,2,200,149.629,61438,39
bench-ab-20260915-155644-default-s064,0,200,123.085,61317,33
bench-ab-20260915-155644-default-s064,1,200,157.165,61379,54
bench-ab-20260915-155644-default-s064,2,200,156.327,61462,70
bench-ab-20260915-155644-default-s065,0,200,124.901,61127,33
bench-ab-20260915-155644-default-s065,1,200,155.82,61189,49
bench-ab-20260915-155644-default-s065,2,200,153.724,61267,55
bench-ab-20260915-155644-default-s066,0,200,132.528,61514,57
bench-ab-20260915-155644-default-s066,1,200,161.542,61600,80
bench-ab-20260915-155644-default-s066,2,200,151.376,61710,53
bench-ab-20260915-155644-default-s067,0,200,129.877,61226,38
bench-ab-20260915-155644-default-s067,1,200,157.07,61293,59
bench-ab-20260915-155644-default-s067,2,200,152.754,61381,53
bench-ab-20260915-155644-default-s068,0,200,129.749,61302,31
bench-ab-20260915-155644-default-s068,1,200,153.771,61362,54
bench-ab-20260915-155644-default-s068,2,200,155.732,61445,67
bench-ab-20260915-155644-default-s069,0,200,133.526,61371,39
bench-ab-20260915-155644-default-s069,1,200,152.032,61439,40
bench-ab-20260915-155644-default-s069,2,200,148.381,61508,40
bench-ab-20260915-155644-default-s070,0,200,137.173,61092,47
bench-ab-20260915-155644-default-s070,1,200,150.867,61168,43
bench-ab-20260915-155644-default-s070,2,200,152.417,61240,51
bench-ab-20260915-155644-default-s071,0,200,142.499,61135,60
bench-ab-20260915-155644-default-s071,1,200,152.527,61224,48
bench-ab-20260915-155644-default-s071,2,200,151.904,61301,50
bench-ab-20260915-155644-default-s072,0,200,141.993,61159,52
bench-ab-20260915-155644-default-s072,1,200,151.974,61240,52
bench-ab-20260915-155644-default-s072,2,200,152.814,61321,54
bench-ab-20260915-155644-default-s073,0,200,140.741,61303,40
bench-ab-20260915-155644-default-s073,1,200,149.797,61372,46
bench-ab-20260915-155644-default-s073,2,200,150.773,61447,48
bench-ab-20260915-155644-default-s074,0,200,142.93,61101,42
bench-ab-20260915-155644-default-s074,1,200,161.582,61172,80
bench-ab-20260915-155644-default-s074,2,200,142.464,61282,80
bench-ab-20260915-155644-default-s075,0,200,143.085,61091,35
bench-ab-20260915-155644-default-s075,1,200,155.045,61155,47
bench-ab-20260915-155644-default-s075,2,200,148.362,61231,42
bench-ab-20260915-155644-default-s076,0,200,147.975,61244,48
bench-ab-20260915-155644-default-s076,1,200,154.028,61321,49
bench-ab-20260915-155644-default-s076,2,200,144.508,61399,52
bench-ab-20260915-155644-default-s077,0,200,147.529,61184,38
bench-ab-20260915-155644-default-s077,1,200,150.052,61251,38
bench-ab-20260915-155644-default-s077,2,200,148.668,61318,50
bench-ab-20260915-155644-default-s078,0,200,147.722,61274,33
bench-ab-20260915-155644-default-s078,1,200,156.941,61336,52
bench-ab-20260915-155644-default-s078,2,200,141.617,61417,40
bench-ab-20260915-155644-default-s079,0,200,156.187,61223,59
bench-ab-20260915-155644-default-s079,1,200,149.287,61311,49
bench-ab-20260915-155644-default-s079,2,200,140.758,61389,46
