program_id,turn,status,latency_s,prompt_tokens,completion_tokens
bench-ab-20260915-183059-tr-nodecay-s024,2,200,1.885,61318,36
bench-ab-20260915-183059-tr-nodecay-s025,0,200,59.464,61200,56
bench-ab-20260915-183059-tr-nodecay-s025,1,200,78.348,61285,59
bench-ab-20260915-183059-tr-nodecay-s025,2,200,3.796,61373,57
bench-ab-20260915-183059-tr-nodecay-s026,0,200,55.532,60923,34
bench-ab-20260915-183059-tr-nodecay-s026,1,200,76.717,60986,48
bench-ab-20260915-183059-tr-nodecay-s026,2,200,8.702,61063,30
bench-ab-20260915-183059-tr-nodecay-s027,0,200,60.8,61251,47
bench-ab-20260915-183059-tr-nodecay-s027,1,200,80.515,61327,46
bench-ab-20260915-183059-tr-nodecay-s027,2,200,1.069,61402,42
bench-ab-20260915-183059-tr-nodecay-s028,0,200,58.558,61163,31
bench-ab-20260915-183059-tr-nodecay-s028,1,200,79.275,61223,52
bench-ab-20260915-183059-tr-nodecay-s028,2,200,3.312,61304,52
bench-ab-20260915-183059-tr-nodecay-s029,0,200,63.613,61335,44
bench-ab-20260915-183059-tr-nodecay-s029,1,200,1850.394,61408,30
bench-ab-20260915-183059-tr-nodecay-s029,2,200,1804.458,61467,53
bench-ab-20260915-183059-tr-nodecay-s030,0,200,63.156,61216,36
bench-ab-20260915-183059-tr-nodecay-s030,1,200,77.78,61281,80
bench-ab-20260915-183059-tr-nodecay-s030,2,200,1.048,61391,47
bench-ab-20260915-183059-tr-nodecay-s031,0,200,64.322,61328,33
bench-ab-20260915-183059-tr-nodecay-s031,1,200,1858.209,61390,56
bench-ab-20260915-183059-tr-nodecay-s031,2,200,1802.372,61475,80
bench-ab-20260915-183059-tr-nodecay-s032,0,200,63.984,61192,25
bench-ab-20260915-183059-tr-nodecay-s032,1,200,72.581,61246,39
bench-ab-20260915-183059-tr-nodecay-s032,2,200,3.886,61314,42
bench-ab-20260915-183059-tr-nodecay-s033,0,200,67.31,61314,30
bench-ab-20260915-183059-tr-nodecay-s033,1,200,73.533,61373,54
bench-ab-20260915-183059-tr-nodecay-s033,2,200,0.887,61456,55
bench-ab-20260915-183059-tr-nodecay-s034,0,200,68.588,61117,29
bench-ab-20260915-183059-tr-nodecay-s034,1,200,71.428,61175,53
bench-ab-20260915-183059-tr-nodecay-s034,2,200,1.002,61257,36
bench-ab-20260915-183059-tr-nodecay-s035,0,200,71.124,61247,31
bench-ab-20260915-183059-tr-nodecay-s035,1,200,69.088,61307,61
bench-ab-20260915-183059-tr-nodecay-s035,2,200,1.023,61397,39
bench-ab-20260915-183059-tr-nodecay-s036,0,200,73.144,61080,33
bench-ab-20260915-183059-tr-nodecay-s036,1,200,66.543,61142,50
bench-ab-20260915-183059-tr-nodecay-s036,2,200,0.909,61221,50
bench-ab-20260915-183059-tr-nodecay-s037,0,200,76.762,61049,40
bench-ab-20260915-183059-tr-nodecay-s037,1,200,62.801,61118,42
bench-ab-20260915-183059-tr-nodecay-s037,2,200,0.857,61189,36
bench-ab-20260915-183059-tr-nodecay-s038,0,200,81.266,61161,51
bench-ab-20260915-183059-tr-nodecay-s038,1,200,58.168,61241,42
bench-ab-20260915-183059-tr-nodecay-s038,2,200,1.307,61312,80
bench-ab-20260915-183059-tr-nodecay-s039,0,200,79.351,61138,36
bench-ab-20260915-183059-tr-nodecay-s039,1,200,59.707,61203,37
bench-ab-20260915-183059-tr-nodecay-s039,2,200,0.787,61269,30
