1789793256,program-aware-scheduling-epp-6575d4c856-z5j7t,527m,44Mi
1789793256,program-aware-vllm-decode-9c9b54cb6-f9qsh,107m,23523Mi
1789793256,program-aware-vllm-decode-9c9b54cb6-gkzmr,107m,23467Mi
1789793256,program-aware-vllm-decode-9c9b54cb6-kccxc,109m,23444Mi
1789793256,program-aware-vllm-decode-9c9b54cb6-mngw2,103m,23478Mi
1789793256,weka-bench-epp-thunder-c338-fd9h5,587m,52Mi
1789793288,program-aware-scheduling-epp-6575d4c856-z5j7t,538m,45Mi
1789793288,program-aware-vllm-decode-9c9b54cb6-f9qsh,108m,23523Mi
1789793288,program-aware-vllm-decode-9c9b54cb6-gkzmr,107m,23467Mi
1789793288,program-aware-vllm-decode-9c9b54cb6-kccxc,113m,23444Mi
1789793288,program-aware-vllm-decode-9c9b54cb6-mngw2,102m,23478Mi
1789793320,program-aware-scheduling-epp-6575d4c856-z5j7t,530m,45Mi
1789793320,program-aware-vllm-decode-9c9b54cb6-f9qsh,107m,23507Mi
1789793320,program-aware-vllm-decode-9c9b54cb6-gkzmr,114m,23466Mi
1789793320,program-aware-vllm-decode-9c9b54cb6-kccxc,112m,23443Mi
1789793320,program-aware-vllm-decode-9c9b54cb6-mngw2,106m,23477Mi
1789793320,weka-bench-epp-thunder-c338-fd9h5,3210m,3586Mi
1789793352,program-aware-scheduling-epp-6575d4c856-z5j7t,540m,47Mi
1789793352,program-aware-vllm-decode-9c9b54cb6-f9qsh,110m,23506Mi
1789793352,program-aware-vllm-decode-9c9b54cb6-gkzmr,111m,23467Mi
1789793352,program-aware-vllm-decode-9c9b54cb6-kccxc,113m,23444Mi
1789793352,program-aware-vllm-decode-9c9b54cb6-mngw2,106m,23477Mi
1789793352,weka-bench-epp-thunder-c338-fd9h5,8006m,4865Mi
1789793384,program-aware-scheduling-epp-6575d4c856-z5j7t,542m,46Mi
1789793384,program-aware-vllm-decode-9c9b54cb6-f9qsh,108m,23506Mi
1789793384,program-aware-vllm-decode-9c9b54cb6-gkzmr,112m,23467Mi
1789793384,program-aware-vllm-decode-9c9b54cb6-kccxc,111m,23444Mi
1789793384,program-aware-vllm-decode-9c9b54cb6-mngw2,106m,23477Mi
1789793384,weka-bench-epp-thunder-c338-fd9h5,8048m,5876Mi
1789793416,program-aware-scheduling-epp-6575d4c856-z5j7t,577m,140Mi
1789793416,program-aware-vllm-decode-9c9b54cb6-f9qsh,653m,23465Mi
1789793416,program-aware-vllm-decode-9c9b54cb6-gkzmr,1300m,23429Mi
1789793416,program-aware-vllm-decode-9c9b54cb6-kccxc,1573m,23418Mi
1789793416,program-aware-vllm-decode-9c9b54cb6-mngw2,1633m,23361Mi
1789793416,weka-bench-epp-thunder-c338-fd9h5,8621m,6814Mi
1789793447,program-aware-scheduling-epp-6575d4c856-z5j7t,772m,451Mi
1789793447,program-aware-vllm-decode-9c9b54cb6-f9qsh,3212m,23480Mi
1789793447,program-aware-vllm-decode-9c9b54cb6-gkzmr,3318m,23463Mi
1789793447,program-aware-vllm-decode-9c9b54cb6-kccxc,3253m,23418Mi
1789793447,program-aware-vllm-decode-9c9b54cb6-mngw2,3212m,23458Mi
1789793447,weka-bench-epp-thunder-c338-fd9h5,16589m,7647Mi
1789793479,program-aware-scheduling-epp-6575d4c856-z5j7t,926m,541Mi
1789793479,program-aware-vllm-decode-9c9b54cb6-f9qsh,3182m,23547Mi
1789793479,program-aware-vllm-decode-9c9b54cb6-gkzmr,3162m,23497Mi
1789793479,program-aware-vllm-decode-9c9b54cb6-kccxc,3170m,23488Mi
1789793479,program-aware-vllm-decode-9c9b54cb6-mngw2,3160m,23486Mi
1789793479,weka-bench-epp-thunder-c338-fd9h5,10171m,8299Mi
1789793511,program-aware-scheduling-epp-6575d4c856-z5j7t,1220m,695Mi
1789793511,program-aware-vllm-decode-9c9b54cb6-f9qsh,2831m,23549Mi
1789793511,program-aware-vllm-decode-9c9b54cb6-gkzmr,2818m,23514Mi
1789793511,program-aware-vllm-decode-9c9b54cb6-kccxc,2824m,23491Mi
1789793511,program-aware-vllm-decode-9c9b54cb6-mngw2,3159m,23515Mi
1789793511,weka-bench-epp-thunder-c338-fd9h5,2922m,8377Mi
1789793543,program-aware-scheduling-epp-6575d4c856-z5j7t,1297m,742Mi
1789793543,program-aware-vllm-decode-9c9b54cb6-f9qsh,2713m,23547Mi
1789793543,program-aware-vllm-decode-9c9b54cb6-gkzmr,2857m,23514Mi
1789793543,program-aware-vllm-decode-9c9b54cb6-kccxc,2919m,23491Mi
1789793543,program-aware-vllm-decode-9c9b54cb6-mngw2,2931m,23516Mi
1789793543,weka-bench-epp-thunder-c338-fd9h5,3184m,8441Mi
1789793575,program-aware-scheduling-epp-6575d4c856-z5j7t,1317m,751Mi
1789793575,program-aware-vllm-decode-9c9b54cb6-f9qsh,2861m,23546Mi
1789793575,program-aware-vllm-decode-9c9b54cb6-gkzmr,2981m,23513Mi
1789793575,program-aware-vllm-decode-9c9b54cb6-kccxc,2954m,23490Mi
1789793575,program-aware-vllm-decode-9c9b54cb6-mngw2,2771m,23473Mi
1789793575,weka-bench-epp-thunder-c338-fd9h5,3258m,8505Mi
1789793607,program-aware-scheduling-epp-6575d4c856-z5j7t,1489m,758Mi
1789793607,program-aware-vllm-decode-9c9b54cb6-f9qsh,2649m,23543Mi
1789793607,program-aware-vllm-decode-9c9b54cb6-gkzmr,2542m,23512Mi
1789793607,program-aware-vllm-decode-9c9b54cb6-kccxc,2751m,23491Mi
1789793607,program-aware-vllm-decode-9c9b54cb6-mngw2,2747m,23456Mi
