ts,kv_cache_usage_perc,num_requests_running,num_requests_waiting,num_preemptions_total,cum_prefix_cache_queries,cum_prefix_cache_hits,interval_queries,interval_hits,interval_hit_rate
1789990991.2,0.0,0.0,0.0,166.0,4008656340,1875791584,0,0,
1789990993.2,0.0,0.0,0.0,166.0,4008656340,1875791584,0,0,
1789990995.3,0.0,0.0,0.0,166.0,4008656340,1875791584,0,0,
1789990997.4,0.0,0.0,0.0,166.0,4008656340,1875791584,0,0,
1789990999.5,0.0,0.0,0.0,166.0,4008656340,1875791584,0,0,
1789991001.6,0.0,0.0,0.0,166.0,4008656340,1875791584,0,0,
1789991003.7,0.0,0.0,0.0,166.0,4008656340,1875791584,0,0,
1789991005.8,0.0,0.0,0.0,166.0,4008656340,1875791584,0,0,
1789991007.8,0.0,0.0,0.0,166.0,4008656340,1875791584,0,0,
1789991009.9,0.0,0.0,0.0,166.0,4008656340,1875791584,0,0,
1789991012.0,0.0,0.0,0.0,166.0,4008656340,1875791584,0,0,
1789991014.0,0.0,0.0,0.0,166.0,4008656340,1875791584,0,0,
1789991016.1,0.0,0.0,0.0,166.0,4008656340,1875791584,0,0,
1789991018.2,0.0,0.0,0.0,166.0,4008656340,1875791584,0,0,
1789991020.3,0.0,0.0,0.0,166.0,4008656340,1875791584,0,0,
1789991022.4,0.0,0.0,0.0,166.0,4008656340,1875791584,0,0,
1789991024.5,0.0,0.0,0.0,166.0,4008656340,1875791584,0,0,
1789991026.5,0.0,0.0,0.0,166.0,4008656340,1875791584,0,0,
1789991028.6,0.0,0.0,0.0,166.0,4008656340,1875791584,0,0,
1789991030.7,0.0,0.0,0.0,166.0,4008656340,1875791584,0,0,
1789991032.7,0.0,0.0,0.0,166.0,4008656340,1875791584,0,0,
1789991034.8,0.0,0.0,0.0,166.0,4008656340,1875791584,0,0,
1789991036.9,0.0,0.0,0.0,166.0,4008656340,1875791584,0,0,
1789991039.0,0.0,0.0,0.0,166.0,4008656340,1875791584,0,0,
1789991041.1,0.0,0.0,0.0,166.0,4008656340,1875791584,0,0,
1789991043.1,0.018789248573104267,14.0,0.0,166.0,4008698772,1875791584,42432,0,0.0
1789991045.8,0.05304905088188594,9.0,5.0,166.0,4008801448,1875791584,102676,0,0.0
1789991049.3,0.10679188064142364,6.0,9.0,166.0,4008932851,1875791584,131403,0,0.0
1789991052.8,0.18021800391949305,11.0,4.0,166.0,4009084334,1875791968,151483,384,0.0025
1789991057.1,0.2642796858683679,15.0,12.0,166.0,4009265955,1875791984,181621,16,0.0001
1789991062.6,0.3612942909865965,24.0,5.0,166.0,4009611927,1875791984,345972,0,0.0
1789991067.7,0.4008682964509992,21.0,16.0,166.0,4009611927,1875791984,0,0,
1789991072.2,0.4264880484071695,22.0,15.0,166.0,4009645296,1875791984,33369,0,0.0
1789991076.9,0.49609481167837266,25.0,13.0,166.0,4009843688,1875791984,198392,0,0.0
1789991081.8,0.5546869412219091,26.0,12.0,166.0,4009922041,1875791984,78353,0,0.0
1789991086.7,0.6242865521335488,30.0,8.0,166.0,4010155200,1875791984,233159,0,0.0
1789991091.7,0.640994464073698,30.0,7.0,166.0,4010213524,1875791984,58324,0,0.0
1789991096.6,0.68518889381607,31.0,6.0,166.0,4010404192,1875791984,190668,0,0.0
1789991101.5,0.7145064156665284,31.0,7.0,166.0,4010404192,1875791984,0,0,
1789991107.1,0.7840845694994779,36.0,2.0,166.0,4010554832,1875792000,150640,16,0.0001
1789991112.4,0.704400131603416,31.0,0.0,166.0,4010856184,1876076416,301352,284416,0.9438
1789991117.5,0.7495672822464131,32.0,4.0,166.0,4011329695,1876446960,473511,370544,0.7825
1789991122.7,0.7894702962507332,34.0,0.0,166.0,4011658068,1876731280,328373,284320,0.8658
1789991127.9,0.8444576365743058,36.0,0.0,166.0,4011945628,1877001120,287560,269840,0.9384
1789991133.1,0.8371765345387443,36.0,0.0,166.0,4012470905,1877511184,525277,510064,0.971
1789991138.4,0.8240948688972491,35.0,0.0,166.0,4012837115,1877833184,366210,322000,0.8793
1789991143.6,0.8270774028351953,36.0,0.0,166.0,4013164437,1878068096,327322,234912,0.7177
1789991149.2,0.857131617720686,36.0,0.0,166.0,4013592451,1878454016,428014,385920,0.9017
1789991154.3,0.870892757520706,36.0,0.0,166.0,4014063213,1878901328,470762,447312,0.9502
1789991159.5,0.8955612456549416,37.0,0.0,166.0,4014304145,1879084032,240932,182704,0.7583
1789991164.7,0.9038436780293819,36.0,0.0,166.0,4014706885,1879463376,402740,379344,0.9419
1789991170.1,0.9019125409472585,36.0,0.0,166.0,4014891574,1879636192,184689,172816,0.9357
1789991175.3,0.9158810991746177,36.0,0.0,166.0,4015333638,1880063040,442064,426848,0.9656
1789991180.5,0.828178866207962,33.0,0.0,166.0,4015776564,1880469760,442926,406720,0.9183
1789991185.7,0.8872645085613744,35.0,0.0,166.0,4016157960,1880814928,381396,345168,0.905
1789991190.9,0.8756061624729998,34.0,0.0,166.0,4016455610,1881094672,297650,279744,0.9398
1789991196.4,0.9405281302301629,37.0,0.0,166.0,4016961275,1881544816,505665,450144,0.8902
1789991201.6,0.9390118300027179,36.0,0.0,166.0,4017377839,1881904528,416564,359712,0.8635
1789991206.9,0.9659404637589941,37.0,0.0,166.0,4017648412,1882155776,270573,251248,0.9286
1789991212.4,0.9708469824195002,37.0,0.0,166.0,4018134306,1882631248,485894,475472,0.9786
1789991217.8,0.9283476618936587,36.0,0.0,166.0,4018397515,1882869520,263209,238272,0.9053
1789991223.0,0.9505557383380777,36.0,0.0,166.0,4018702372,1883166896,304857,297376,0.9755
1789991228.7,0.9381535468551075,35.0,0.0,166.0,4018957672,1883326672,255300,159776,0.6258
1789991234.0,0.9608551361094025,36.0,0.0,166.0,4019226762,1883476768,269090,150096,0.5578
1789991239.2,0.8629321813266196,33.0,0.0,166.0,4019437960,1883676192,211198,199424,0.9443
1789991244.3,0.9508990515971218,35.0,0.0,166.0,4019965041,1884181232,527081,505040,0.9582
1789991249.5,0.9612342111662637,35.0,1.0,166.0,4020094495,1884181232,129454,0,0.0
1789991254.7,0.9735505743344729,35.0,0.0,166.0,4020273279,1884257008,178784,75776,0.4238
1789991259.8,0.941600984164676,36.0,0.0,166.0,4020392381,1884257008,119102,0,0.0
1789991264.9,0.9197433733388645,35.0,1.0,166.0,4020436240,1884257008,43859,0,0.0
1789991270.0,0.9419085356259029,36.0,0.0,166.0,4020613811,1884279456,177571,22448,0.1264
1789991275.3,0.973808059278756,36.0,0.0,166.0,4020677458,1884342320,63647,62864,0.9877
1789991280.3,0.9277039495329509,35.0,0.0,166.0,4020934608,1884538576,257150,196256,0.7632
1789991285.2,0.954189136996295,35.0,0.0,166.0,4021130959,1884719344,196351,180768,0.9206
1789991290.6,0.9619136853247886,35.0,0.0,166.0,4021306894,1884825280,175935,105936,0.6021
1789991295.8,0.9917962435807572,36.0,0.0,166.0,4021448152,1884903808,141258,78528,0.5559
1789991300.9,0.957371937002017,36.0,0.0,166.0,4021620685,1884987008,172533,83200,0.4822
1789991306.0,0.8998741184716839,34.0,0.0,166.0,4021892769,1885246304,272084,259296,0.953
1789991311.3,0.9750811792810448,36.0,0.0,166.0,4022243984,1885549824,351215,303520,0.8642
1789991316.7,0.9280401104324316,34.0,0.0,166.0,4022482746,1885785632,238762,235808,0.9876
1789991321.8,0.9796443846825068,36.0,0.0,166.0,4022904460,1886170976,421714,385344,0.9138
1789991327.1,0.9346989571859756,34.0,0.0,166.0,4023529734,1886769824,625274,598848,0.9577
1789991332.4,0.9455347819245569,34.0,0.0,166.0,4023745025,1886909344,215291,139520,0.6481
1789991337.7,0.9891784799805455,35.0,2.0,166.0,4023962612,1887088304,217587,178960,0.8225
1789991342.8,0.9704607550030755,36.0,0.0,166.0,4024131538,1887108512,168926,20208,0.1196
1789991348.1,0.9994921824709971,36.0,0.0,166.0,4024231044,1887161568,99506,53056,0.5332
1789991353.8,0.9552476862116812,35.0,0.0,166.0,4024625152,1887532048,394108,370480,0.94
1789991359.0,0.9426738380991889,35.0,0.0,166.0,4024863007,1887720064,237855,188016,0.7905
1789991364.3,0.9576723361036806,35.0,1.0,166.0,4025097369,1887888720,234362,168656,0.7196
1789991369.3,0.9578082309353856,36.0,1.0,166.0,4025223952,1887927040,126583,38320,0.3027
1789991374.3,0.9714620853419543,35.0,1.0,166.0,4025367643,1887935856,143691,8816,0.0614
1789991379.2,0.9797731271546484,36.0,0.0,166.0,4025637447,1888095488,269804,159632,0.5917
1789991384.2,0.9424449625931595,35.0,0.0,166.0,4025683443,1888095488,45996,0,0.0
1789991389.2,0.9710329437681491,36.0,0.0,166.0,4025762396,1888122224,78953,26736,0.3386
1789991394.3,0.9580084970031614,36.0,0.0,166.0,4025881696,1888190000,119300,67776,0.5681
1789991399.3,0.9194429742372009,34.0,1.0,166.0,4026016870,1888222048,135174,32048,0.2371
1789991404.4,0.8855193328279,33.0,0.0,166.0,4026121207,1888291520,104337,69472,0.6658
1789991409.4,0.7629064328321913,31.0,3.0,166.0,4026352534,1888365312,231327,73792,0.319
1789991414.4,0.8690116869555267,33.0,2.0,166.0,4026617210,1888545680,264676,180368,0.6815
1789991419.3,0.9214384825553951,36.0,0.0,166.0,4026755772,1888595152,138562,49472,0.357
1789991424.3,0.844665055001645,34.0,0.0,166.0,4027110952,1888798336,355180,203184,0.5721
1789991429.5,0.8711216330267355,33.0,2.0,166.0,4027110952,1888798336,0,0,
1789991434.4,0.9284120331297295,35.0,0.0,166.0,4027197698,1888866672,86746,68336,0.7878
1789991439.4,0.9467578354099018,34.0,1.0,166.0,4027362947,1888866672,165249,0,0.0
1789991444.5,0.9054529589311514,32.0,1.0,166.0,4027362947,1888866672,0,0,
1789991449.6,0.9126053184945714,33.0,0.0,166.0,4027497033,1888909840,134086,43168,0.3219
1789991454.6,0.8960976726221981,33.0,0.0,166.0,4027827247,1889178336,330214,268496,0.8131
1789991459.7,0.9185846910895905,34.0,0.0,166.0,4028010516,1889259040,183269,80704,0.4404
1789991464.8,0.9393551432617621,35.0,0.0,166.0,4028145360,1889301328,134844,42288,0.3136
1789991469.8,0.9296708484128914,34.0,0.0,166.0,4028391121,1889408592,245761,107264,0.4365
1789991474.8,0.9427239046161329,34.0,0.0,166.0,4028557753,1889491392,166632,82800,0.4969
1789991479.7,0.9429384754030354,34.0,0.0,166.0,4028639470,1889491392,81717,0,0.0
1789991484.7,0.9454346488906691,34.0,1.0,166.0,4028853116,1889491392,213646,0,0.0
1789991489.7,0.9820904916531964,34.0,2.0,166.0,4028853116,1889491392,0,0,
1789991494.8,0.9901154390833536,34.0,1.0,166.0,4028917214,1889491392,64098,0,0.0
1789991499.8,0.9105239818616162,32.0,0.0,166.0,4028979507,1889510000,62293,18608,0.2987
1789991504.7,0.9338835881957458,32.0,0.0,166.0,4029072953,1889510000,93446,0,0.0
1789991509.7,0.9478736035017953,33.0,0.0,166.0,4029320549,1889667104,247596,157104,0.6345
1789991514.7,0.929577867738567,32.0,0.0,166.0,4029385917,1889729520,65368,62416,0.9548
1789991519.9,0.960898050266783,32.0,0.0,166.0,4029576634,1889837040,190717,107520,0.5638
1789991524.9,0.9249359863819074,31.0,1.0,166.0,4029667614,1889837040,90980,0,0.0
1789991529.9,0.9595963208262406,32.0,1.0,166.0,4029800300,1889837040,132686,0,0.0
1789991534.8,0.9642024403850831,32.0,0.0,166.0,4029940144,1889901040,139844,64000,0.4577
1789991539.8,0.9754960161357231,32.0,0.0,166.0,4030009345,1889901056,69201,16,0.0002
1789991544.8,0.9653468179152302,32.0,0.0,166.0,4030156680,1889901056,147335,0,0.0
1789991549.8,0.9770981446779292,32.0,0.0,166.0,4030221728,1889901056,65048,0,0.0
1789991555.0,0.9417654884346346,32.0,0.0,166.0,4030419896,1889948096,198168,47040,0.2374
1789991560.0,0.9288054129057176,31.0,0.0,166.0,4030477131,1889948112,57235,16,0.0003
1789991565.0,0.9858597851431187,33.0,0.0,166.0,4030669717,1890054256,192586,106144,0.5512
1789991570.1,0.9601899666700044,32.0,0.0,166.0,4030767073,1890054256,97356,0,0.0
1789991575.1,0.9576508790249904,31.0,0.0,166.0,4030767073,1890054256,0,0,
1789991580.2,0.9343914057247485,30.0,0.0,166.0,4030867766,1890054256,100693,0,0.0
