program_id,turn,status,latency_s,prompt_tokens,completion_tokens
bench-ab-20260915-162856-tr-decay-s026,1,200,77.546,60986,48
bench-ab-20260915-162856-tr-decay-s026,2,200,46.754,61063,53
bench-ab-20260915-162856-tr-decay-s027,0,200,60.76,61251,47
bench-ab-20260915-162856-tr-decay-s027,1,200,125.255,61327,47
bench-ab-20260915-162856-tr-decay-s027,2,200,37.963,61403,27
bench-ab-20260915-162856-tr-decay-s028,0,200,58.519,61163,31
bench-ab-20260915-162856-tr-decay-s028,1,200,84.463,61223,52
bench-ab-20260915-162856-tr-decay-s028,2,200,47.927,61304,59
bench-ab-20260915-162856-tr-decay-s029,0,200,63.566,61335,44
bench-ab-20260915-162856-tr-decay-s029,1,200,145.777,61408,30
bench-ab-20260915-162856-tr-decay-s029,2,200,54.63,61467,80
bench-ab-20260915-162856-tr-decay-s030,0,200,63.102,61216,36
bench-ab-20260915-162856-tr-decay-s030,1,200,76.914,61281,51
bench-ab-20260915-162856-tr-decay-s030,2,200,53.955,61361,41
bench-ab-20260915-162856-tr-decay-s031,0,200,64.27,61328,33
bench-ab-20260915-162856-tr-decay-s031,1,200,142.721,61390,56
bench-ab-20260915-162856-tr-decay-s031,2,200,53.259,61475,66
bench-ab-20260915-162856-tr-decay-s032,0,200,63.932,61192,25
bench-ab-20260915-162856-tr-decay-s032,1,200,68.001,61246,39
bench-ab-20260915-162856-tr-decay-s032,2,200,43.677,61314,43
bench-ab-20260915-162856-tr-decay-s033,0,200,67.268,61314,30
bench-ab-20260915-162856-tr-decay-s033,1,200,120.662,61373,49
bench-ab-20260915-162856-tr-decay-s033,2,200,38.7,61451,40
bench-ab-20260915-162856-tr-decay-s034,0,200,68.541,61117,29
bench-ab-20260915-162856-tr-decay-s034,1,200,77.831,61175,51
bench-ab-20260915-162856-tr-decay-s034,2,200,52.109,61255,75
bench-ab-20260915-162856-tr-decay-s035,0,200,71.076,61247,31
bench-ab-20260915-162856-tr-decay-s035,1,200,108.672,61307,65
bench-ab-20260915-162856-tr-decay-s035,2,200,46.496,61401,54
bench-ab-20260915-162856-tr-decay-s036,0,200,73.085,61080,33
bench-ab-20260915-162856-tr-decay-s036,1,200,74.362,61142,51
bench-ab-20260915-162856-tr-decay-s036,2,200,52.025,61222,80
bench-ab-20260915-162856-tr-decay-s037,0,200,76.708,61049,40
bench-ab-20260915-162856-tr-decay-s037,1,200,66.869,61118,36
bench-ab-20260915-162856-tr-decay-s037,2,200,45.392,61183,56
bench-ab-20260915-162856-tr-decay-s038,0,200,81.216,61161,51
bench-ab-20260915-162856-tr-decay-s038,1,200,61.842,61241,34
bench-ab-20260915-162856-tr-decay-s038,2,200,41.687,61304,42
bench-ab-20260915-162856-tr-decay-s039,0,200,79.303,61138,36
bench-ab-20260915-162856-tr-decay-s039,1,200,65.438,61203,37
bench-ab-20260915-162856-tr-decay-s039,2,200,44.773,61269,47
bench-ab-20260915-162856-tr-decay-s040,0,200,80.651,61051,35
bench-ab-20260915-162856-tr-decay-s040,1,200,79.177,61115,66
bench-ab-20260915-162856-tr-decay-s040,2,200,45.104,61210,50
bench-ab-20260915-162856-tr-decay-s041,0,200,81.902,61122,33
bench-ab-20260915-162856-tr-decay-s041,1,200,69.893,61184,48
