program_id,turn,status,latency_s,prompt_tokens,completion_tokens
bench-ab-20260915-155644-tr-s028,2,200,1.395,61304,49
bench-ab-20260915-155644-tr-s029,0,200,63.591,61335,44
bench-ab-20260915-155644-tr-s029,1,200,91.429,61408,30
bench-ab-20260915-155644-tr-s029,2,200,86.295,61467,80
bench-ab-20260915-155644-tr-s030,0,200,63.134,61216,36
bench-ab-20260915-155644-tr-s030,1,200,74.005,61281,80
bench-ab-20260915-155644-tr-s030,2,200,0.945,61391,70
bench-ab-20260915-155644-tr-s031,0,200,64.295,61328,33
bench-ab-20260915-155644-tr-s031,1,200,106.611,61390,56
bench-ab-20260915-155644-tr-s031,2,200,85.649,61475,66
bench-ab-20260915-155644-tr-s032,0,200,63.959,61192,25
bench-ab-20260915-155644-tr-s032,1,200,69.544,61246,39
bench-ab-20260915-155644-tr-s032,2,200,2.746,61314,33
bench-ab-20260915-155644-tr-s033,0,200,67.291,61314,30
bench-ab-20260915-155644-tr-s033,1,200,97.727,61373,49
bench-ab-20260915-155644-tr-s033,2,200,77.094,61451,40
bench-ab-20260915-155644-tr-s034,0,200,68.576,61117,29
bench-ab-20260915-155644-tr-s034,1,200,68.449,61175,80
bench-ab-20260915-155644-tr-s034,2,200,0.85,61285,80
bench-ab-20260915-155644-tr-s035,0,200,71.108,61247,31
bench-ab-20260915-155644-tr-s035,1,200,65.56,61307,65
bench-ab-20260915-155644-tr-s035,2,200,0.734,61401,44
bench-ab-20260915-155644-tr-s036,0,200,73.123,61080,33
bench-ab-20260915-155644-tr-s036,1,200,62.856,61142,48
bench-ab-20260915-155644-tr-s036,2,200,1.29,61219,80
bench-ab-20260915-155644-tr-s037,0,200,76.746,61049,40
bench-ab-20260915-155644-tr-s037,1,200,59.112,61118,42
bench-ab-20260915-155644-tr-s037,2,200,0.966,61189,47
bench-ab-20260915-155644-tr-s038,0,200,81.257,61161,51
bench-ab-20260915-155644-tr-s038,1,200,54.628,61241,43
bench-ab-20260915-155644-tr-s038,2,200,0.855,61313,44
bench-ab-20260915-155644-tr-s039,0,200,79.335,61138,36
bench-ab-20260915-155644-tr-s039,1,200,57.189,61203,80
bench-ab-20260915-155644-tr-s039,2,200,0.517,61313,40
bench-ab-20260915-155644-tr-s040,0,200,80.691,61051,35
bench-ab-20260915-155644-tr-s040,1,200,55.749,61115,80
bench-ab-20260915-155644-tr-s040,2,200,0.726,61225,74
bench-ab-20260915-155644-tr-s041,0,200,81.943,61122,33
bench-ab-20260915-155644-tr-s041,1,200,53.406,61184,37
bench-ab-20260915-155644-tr-s041,2,200,0.751,61250,36
bench-ab-20260915-155644-tr-s042,0,200,82.909,61200,29
bench-ab-20260915-155644-tr-s042,1,200,52.846,61258,49
bench-ab-20260915-155644-tr-s042,2,200,0.659,61336,43
bench-ab-20260915-155644-tr-s043,0,200,209.407,61303,33
bench-ab-20260915-155644-tr-s043,1,200,82.154,61365,46
bench-ab-20260915-155644-tr-s043,2,200,0.929,61440,39
bench-ab-20260915-155644-tr-s044,0,200,165.163,61295,31
bench-ab-20260915-155644-tr-s044,1,200,81.051,61355,53
bench-ab-20260915-155644-tr-s044,2,200,45.564,61437,47
bench-ab-20260915-155644-tr-s045,0,200,157.783,61213,33
bench-ab-20260915-155644-tr-s045,1,200,77.514,61275,48
bench-ab-20260915-155644-tr-s045,2,200,55.504,61352,36
bench-ab-20260915-155644-tr-s046,0,200,173.953,61213,45
bench-ab-20260915-155644-tr-s046,1,200,107.0,61287,30
bench-ab-20260915-155644-tr-s046,2,200,10.266,61346,28
bench-ab-20260915-155644-tr-s047,0,200,162.782,61117,38
bench-ab-20260915-155644-tr-s047,1,200,74.278,61184,41
bench-ab-20260915-155644-tr-s047,2,200,53.483,61254,36
bench-ab-20260915-155644-tr-s048,0,200,202.686,61184,38
bench-ab-20260915-155644-tr-s048,1,200,74.899,61251,33
bench-ab-20260915-155644-tr-s048,2,200,13.477,61313,32
bench-ab-20260915-155644-tr-s049,0,200,194.886,61280,38
bench-ab-20260915-155644-tr-s049,1,200,74.273,61347,41
bench-ab-20260915-155644-tr-s049,2,200,22.348,61417,54
bench-ab-20260915-155644-tr-s050,0,200,202.721,61063,47
bench-ab-20260915-155644-tr-s050,1,200,83.345,61139,80
bench-ab-20260915-155644-tr-s050,2,200,5.633,61249,80
bench-ab-20260915-155644-tr-s051,0,200,175.714,61150,39
bench-ab-20260915-155644-tr-s051,1,200,73.815,61218,40
bench-ab-20260915-155644-tr-s051,2,200,41.057,61287,36
bench-ab-20260915-155644-tr-s052,0,200,206.703,61250,42
bench-ab-20260915-155644-tr-s052,1,200,83.881,61321,66
bench-ab-20260915-155644-tr-s052,2,200,1.15,61416,72
bench-ab-20260915-155644-tr-s053,0,200,222.681,61161,45
bench-ab-20260915-155644-tr-s053,1,200,60.6,61235,30
bench-ab-20260915-155644-tr-s053,2,200,7.314,61294,37
bench-ab-20260915-155644-tr-s054,0,200,222.789,61268,31
bench-ab-20260915-155644-tr-s054,1,200,68.105,61328,80
bench-ab-20260915-155644-tr-s054,2,200,0.675,61438,44
bench-ab-20260915-155644-tr-s055,0,200,211.061,61137,38
bench-ab-20260915-155644-tr-s055,1,200,72.642,61204,37
bench-ab-20260915-155644-tr-s055,2,200,6.888,61270,47
bench-ab-20260915-155644-tr-s056,0,200,234.708,61169,43
bench-ab-20260915-155644-tr-s056,1,200,56.11,61241,80
bench-ab-20260915-155644-tr-s056,2,200,0.633,61351,55
bench-ab-20260915-155644-tr-s057,0,200,186.952,61243,34
bench-ab-20260915-155644-tr-s057,1,200,72.244,61306,36
bench-ab-20260915-155644-tr-s057,2,200,31.257,61371,53
bench-ab-20260915-155644-tr-s058,0,200,198.891,61042,51
bench-ab-20260915-155644-tr-s058,1,200,77.431,61122,56
bench-ab-20260915-155644-tr-s058,2,200,13.836,61207,45
bench-ab-20260915-155644-tr-s059,0,200,189.818,61085,30
bench-ab-20260915-155644-tr-s059,1,200,77.539,61144,45
bench-ab-20260915-155644-tr-s059,2,200,22.375,61218,34
bench-ab-20260915-155644-tr-s060,0,200,215.897,61157,30
bench-ab-20260915-155644-tr-s060,1,200,70.5,61216,45
bench-ab-20260915-155644-tr-s060,2,200,3.18,61290,33
bench-ab-20260915-155644-tr-s061,0,200,210.881,61189,33
bench-ab-20260915-155644-tr-s061,1,200,75.871,61251,58
bench-ab-20260915-155644-tr-s061,2,200,3.552,61338,80
bench-ab-20260915-155644-tr-s062,0,200,166.435,61264,30
bench-ab-20260915-155644-tr-s062,1,200,77.854,61323,47
bench-ab-20260915-155644-tr-s062,2,200,45.121,61399,43
bench-ab-20260915-155644-tr-s063,0,200,132.23,61324,28
bench-ab-20260915-155644-tr-s063,1,200,0.985,61381,29
bench-ab-20260915-155644-tr-s063,2,200,0.586,61439,31
bench-ab-20260915-155644-tr-s064,0,200,204.754,61317,33
bench-ab-20260915-155644-tr-s064,1,200,84.655,61379,49
bench-ab-20260915-155644-tr-s064,2,200,1.002,61457,80
bench-ab-20260915-155644-tr-s065,0,200,178.135,61127,33
bench-ab-20260915-155644-tr-s065,1,200,79.488,61189,49
bench-ab-20260915-155644-tr-s065,2,200,31.878,61267,57
bench-ab-20260915-155644-tr-s066,0,200,289.547,61514,37
bench-ab-20260915-155644-tr-s066,1,200,0.991,61580,80
bench-ab-20260915-155644-tr-s066,2,200,0.311,61690,30
bench-ab-20260915-155644-tr-s067,0,200,188.802,61226,38
bench-ab-20260915-155644-tr-s067,1,200,78.946,61293,59
bench-ab-20260915-155644-tr-s067,2,200,21.479,61381,54
bench-ab-20260915-155644-tr-s068,0,200,175.437,61302,31
bench-ab-20260915-155644-tr-s068,1,200,79.459,61362,54
bench-ab-20260915-155644-tr-s068,2,200,34.126,61445,59
bench-ab-20260915-155644-tr-s069,0,200,220.887,61371,39
bench-ab-20260915-155644-tr-s069,1,200,67.938,61439,43
bench-ab-20260915-155644-tr-s069,2,200,0.683,61511,41
bench-ab-20260915-155644-tr-s070,0,200,173.432,61092,47
bench-ab-20260915-155644-tr-s070,1,200,76.448,61168,43
bench-ab-20260915-155644-tr-s070,2,200,38.462,61240,42
bench-ab-20260915-155644-tr-s071,0,200,293.474,61135,80
bench-ab-20260915-155644-tr-s071,1,200,0.578,61245,80
bench-ab-20260915-155644-tr-s071,2,200,0.579,61355,80
bench-ab-20260915-155644-tr-s072,0,200,186.004,61159,52
bench-ab-20260915-155644-tr-s072,1,200,77.521,61240,52
bench-ab-20260915-155644-tr-s072,2,200,25.384,61321,80
bench-ab-20260915-155644-tr-s073,0,200,165.647,61303,40
bench-ab-20260915-155644-tr-s073,1,200,78.973,61372,46
bench-ab-20260915-155644-tr-s073,2,200,43.69,61447,55
bench-ab-20260915-155644-tr-s074,0,200,202.175,61101,42
bench-ab-20260915-155644-tr-s074,1,200,85.248,61172,80
bench-ab-20260915-155644-tr-s074,2,200,1.509,61282,80
bench-ab-20260915-155644-tr-s075,0,200,194.388,61091,35
bench-ab-20260915-155644-tr-s075,1,200,75.15,61155,47
bench-ab-20260915-155644-tr-s075,2,200,18.374,61231,41
bench-ab-20260915-155644-tr-s076,0,200,176.74,61244,48
bench-ab-20260915-155644-tr-s076,1,200,77.739,61321,49
bench-ab-20260915-155644-tr-s076,2,200,33.645,61399,66
bench-ab-20260915-155644-tr-s077,0,200,179.834,61184,38
bench-ab-20260915-155644-tr-s077,1,200,93.493,61251,38
bench-ab-20260915-155644-tr-s077,2,200,14.636,61318,55
bench-ab-20260915-155644-tr-s078,0,200,182.066,61274,33
bench-ab-20260915-155644-tr-s078,1,200,76.856,61336,52
bench-ab-20260915-155644-tr-s078,2,200,28.632,61417,42
bench-ab-20260915-155644-tr-s079,0,200,219.024,61223,59
bench-ab-20260915-155644-tr-s079,1,200,67.259,61311,49
bench-ab-20260915-155644-tr-s079,2,200,1.474,61389,44
