ts,programs_running,programs_idle,programs_marked,programs_paused,holds_reasoning,holds_paused,holds_new,releases_reasoning,releases_paused,releases_new,pauses_total,resumes_total,rebinds_total,starvation_promotions_total,origin_waits_total,urgent_promotions_total,origin_wait_moves_total,pod_utilization,fc_queue_size,fc_queue_wait_sum,fc_queue_wait_count
1790025797.9,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1790025800.1,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1790025802.1,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1790025804.2,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1790025806.3,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1790025808.3,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1790025810.4,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1790025812.5,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1790025814.5,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1790025816.6,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1790025818.7,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1790025820.7,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1790025822.8,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1790025824.9,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1790025826.9,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1790025829.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1790025831.1,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1790025833.1,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1790025835.2,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1790025837.3,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1790025839.3,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1790025841.4,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1790025843.5,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1790025845.5,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1790025847.6,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1790025849.7,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1790025851.7,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1790025853.8,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1790025855.9,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1790025858.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1790025860.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1790025862.1,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1790025864.2,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1790025866.2,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1790025868.3,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1790025870.4,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1790025872.4,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1790025874.5,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1790025876.6,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1790025878.7,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1790025880.7,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1790025882.8,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1790025884.9,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1790025886.9,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1790025889.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1790025891.1,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1790025893.1,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1790025895.2,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1790025897.3,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1790025899.4,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1790025901.5,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1790025903.6,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1790025905.6,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1790025907.7,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1790025909.8,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1790025911.9,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1790025913.9,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1790025916.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1790025918.1,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1790025920.1,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1790025922.2,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1790025924.3,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1790025926.3,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1790025928.4,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1790025930.5,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1790025932.6,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1790025934.6,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1790025936.7,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1790025938.8,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1790025940.9,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1790025942.9,5.0,0.0,0.0,0.0,,,,,,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021957139791867825,,0.00135704,10.0
1790025945.1,35.0,0.0,0.0,0.0,,,,4.0,,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03977354003504631,,0.0108019,78.0
1790025947.6,37.0,3.0,0.0,0.0,,,,28.0,,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10320468118585273,,0.018861606,136.0
1790025951.0,57.0,0.0,0.0,0.0,,,,34.0,,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1542730572542288,,0.026280128,182.0
1790025954.7,78.0,1.0,0.0,0.0,,,,40.0,,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24677117977327181,,0.03527737,238.0
1790025958.2,100.0,0.0,0.0,0.0,,,,49.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42398079605192573,,0.04620893,298.0
1790025962.5,123.0,1.0,0.0,0.0,,,,71.0,,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42407019990702,,0.06599582799999999,390.0
1790025966.7,126.0,1.0,0.0,0.0,,,,85.0,,127.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42420430568966133,,0.072135508,424.0
1790025971.2,127.0,1.0,0.0,0.0,,,,108.0,,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42432053070128384,,0.081109502,472.0
1790025975.9,128.0,0.0,0.0,0.0,,,,111.0,,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4243831133998498,,0.08207868,478.0
1790025980.7,123.0,5.0,0.0,0.0,,,,113.0,,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43674140828952546,,0.08274986,482.0
1790025985.4,124.0,4.0,0.0,0.0,,,,124.0,,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4569663483889425,,0.08660253799999999,504.0
1790025990.3,127.0,1.0,0.0,0.0,,,,133.0,,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4791478918570969,,0.089657734,522.0
1790025995.1,122.0,6.0,0.0,0.0,,,,145.0,,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4950179701748739,,0.094697916,546.0
1790026000.1,111.0,17.0,0.0,0.0,,,,165.0,,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4863095876694203,,0.101982316,586.0
1790026005.2,117.0,11.0,0.0,0.0,,,,204.0,,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5016137395844509,,0.117933594,664.0
1790026010.3,112.0,16.0,0.0,0.0,,,,232.0,,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5054996781461216,,0.128653276,720.0
1790026015.4,121.0,7.0,0.0,0.0,,,,261.0,,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5236652004434431,,0.14045466,778.0
1790026020.6,117.0,11.0,0.0,0.0,,,,291.0,,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5292060043629081,,0.152880296,838.0
1790026026.0,117.0,11.0,0.0,0.0,,,,326.0,,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5402549797947287,,0.166121442,908.0
