ts,programs_count,reasoning_count,acting_count,paused_count
1789516088.1,80,44,36,44
1789516090.1,80,44,36,44
1789516092.1,80,44,36,44
1789516094.2,80,44,36,44
1789516096.2,80,44,36,44
1789516098.2,80,44,36,44
1789516100.2,80,44,36,44
1789516102.3,80,44,36,44
1789516104.3,80,44,36,44
1789516106.3,80,44,36,44
1789516108.3,80,44,36,44
1789516110.3,80,44,36,44
1789516112.4,80,44,36,44
1789516114.4,80,44,36,44
1789516116.4,80,44,36,44
1789516118.4,80,44,36,44
1789516120.4,80,44,36,44
1789516122.5,80,44,36,44
1789516124.5,80,44,36,44
1789516126.5,80,44,36,44
1789516128.5,80,44,36,44
1789516130.5,80,44,36,44
1789516132.6,80,44,36,44
1789516134.6,80,44,36,44
1789516136.6,80,44,36,44
1789516138.6,80,44,36,44
1789516140.6,80,44,36,44
1789516142.7,80,44,36,44
1789516144.7,80,44,36,44
1789516146.7,80,44,36,44
1789516148.7,80,44,36,44
1789516150.8,80,44,36,44
1789516152.8,80,44,36,44
1789516154.8,80,44,36,44
1789516156.8,80,44,36,44
1789516158.8,80,44,36,44
1789516160.9,80,44,36,44
1789516162.9,80,44,36,44
1789516164.9,80,44,36,44
1789516166.9,80,44,36,44
1789516169.0,80,44,36,44
1789516171.0,80,44,36,44
1789516173.0,80,44,36,44
1789516175.0,80,44,36,44
1789516177.0,80,44,36,44
1789516179.1,80,44,36,44
1789516181.1,80,44,36,44
1789516183.1,80,44,36,44
1789516185.1,80,44,36,44
1789516187.1,80,44,36,44
1789516189.2,80,44,36,44
1789516191.2,80,44,36,44
1789516193.2,80,44,36,44
1789516195.2,80,44,36,44
1789516197.2,80,44,36,44
1789516199.3,80,44,36,44
1789516201.3,80,44,36,44
1789516203.3,80,44,36,44
1789516205.3,80,44,36,44
1789516207.4,80,44,36,44
1789516209.4,80,44,36,44
1789516211.4,80,44,36,44
1789516213.4,80,44,36,44
1789516215.4,80,44,36,44
1789516217.5,80,44,36,44
1789516219.5,80,44,36,44
1789516221.5,80,44,36,44
1789516223.5,80,44,36,44
1789516225.5,80,44,36,44
