program_id,turn,status,latency_s,prompt_tokens,completion_tokens
bench-sat-20260915-152924-s036,1,200,74.135,61142,51
bench-sat-20260915-152924-s036,2,200,64.518,61222,80
bench-sat-20260915-152924-s037,0,200,25.966,61049,40
bench-sat-20260915-152924-s037,1,200,79.666,61118,36
bench-sat-20260915-152924-s037,2,200,48.422,61183,53
bench-sat-20260915-152924-s038,0,200,28.885,61161,51
bench-sat-20260915-152924-s038,1,200,69.595,61241,34
bench-sat-20260915-152924-s038,2,200,53.884,61304,42
bench-sat-20260915-152924-s039,0,200,25.02,61138,36
bench-sat-20260915-152924-s039,1,200,74.21,61203,37
bench-sat-20260915-152924-s039,2,200,45.786,61269,47
bench-sat-20260915-152924-s040,0,200,26.553,61051,35
bench-sat-20260915-152924-s040,1,200,88.236,61115,66
bench-sat-20260915-152924-s040,2,200,30.437,61210,41
bench-sat-20260915-152924-s041,0,200,25.908,61122,33
bench-sat-20260915-152924-s041,1,200,78.652,61184,48
bench-sat-20260915-152924-s041,2,200,46.655,61261,44
bench-sat-20260915-152924-s042,0,200,25.144,61200,29
bench-sat-20260915-152924-s042,1,200,71.902,61258,37
bench-sat-20260915-152924-s042,2,200,48.191,61324,56
bench-sat-20260915-152924-s043,0,200,25.972,61303,33
bench-sat-20260915-152924-s043,1,200,77.525,61365,48
bench-sat-20260915-152924-s043,2,200,41.735,61442,53
bench-sat-20260915-152924-s044,0,200,27.265,61295,31
bench-sat-20260915-152924-s044,1,200,75.261,61355,53
bench-sat-20260915-152924-s044,2,200,50.789,61437,46
bench-sat-20260915-152924-s045,0,200,27.441,61213,33
bench-sat-20260915-152924-s045,1,200,74.886,61275,48
bench-sat-20260915-152924-s045,2,200,51.305,61352,54
bench-sat-20260915-152924-s046,0,200,30.899,61213,45
bench-sat-20260915-152924-s046,1,200,68.037,61287,30
bench-sat-20260915-152924-s046,2,200,54.267,61346,31
bench-sat-20260915-152924-s047,0,200,28.967,61117,38
bench-sat-20260915-152924-s047,1,200,74.489,61184,41
bench-sat-20260915-152924-s047,2,200,41.018,61254,38
bench-sat-20260915-152924-s048,0,200,30.699,61184,38
bench-sat-20260915-152924-s048,1,200,68.055,61251,33
bench-sat-20260915-152924-s048,2,200,52.305,61313,32
bench-sat-20260915-152924-s049,0,200,30.613,61280,38
bench-sat-20260915-152924-s049,1,200,92.485,61347,41
bench-sat-20260915-152924-s049,2,200,31.662,61417,52
bench-sat-20260915-152924-s050,0,200,33.075,61063,47
bench-sat-20260915-152924-s050,1,200,81.812,61139,80
bench-sat-20260915-152924-s050,2,200,55.474,61249,80
bench-sat-20260915-152924-s051,0,200,30.908,61150,39
bench-sat-20260915-152924-s051,1,200,72.834,61218,40
bench-sat-20260915-152924-s051,2,200,45.399,61287,39
bench-sat-20260915-152924-s052,0,200,32.973,61250,42
bench-sat-20260915-152924-s052,1,200,76.005,61321,61
bench-sat-20260915-152924-s052,2,200,59.157,61411,80
bench-sat-20260915-152924-s053,0,200,33.886,61161,45
bench-sat-20260915-152924-s053,1,200,72.25,61235,30
