ts,backend,kv_cache_usage_perc,interval_hit_rate,interval_queries,interval_hits,cum_prefix_cache_queries,cum_prefix_cache_hits,num_requests_running,num_requests_waiting,active_program_tokens,reasoning_program_tokens,acting_program_tokens,capacity_overflow
1789511398.1,http://10.100.2.5:8000,0.1089,,0,0,819781,19568,4,35,2235286,2235286,0,2146
1789511398.1,http://10.100.2.6:8000,0.1092,,0,0,818991,19216,4,33,2175887,2175887,0,0
1789511398.1,http://10.100.3.5:8000,0.1633,,0,0,820242,19008,6,33,2240239,2240239,0,7099
1789511400.1,http://10.100.15.12:8000,0.1363,0.0,122419,0,1158315796,1062381280,5,34,2238746,2238746,0,5606
1789511400.1,http://10.100.2.5:8000,0.1602,0.0,122404,0,942185,19568,6,33,2235286,2235286,0,2146
1789511400.1,http://10.100.2.6:8000,0.1605,0.0,122310,0,941301,19216,6,32,2181123,2181123,0,0
1789511400.1,http://10.100.3.5:8000,0.1325,0.0,122222,0,942464,19008,5,33,2245485,2245485,0,12345
1789511402.1,http://10.100.15.12:8000,0.131,0.0,61157,0,1158376953,1062381280,5,33,2187975,2126649,61326,0
1789511402.1,http://10.100.2.5:8000,0.1311,0.0,61264,0,1003449,19568,5,32,2184487,2184487,0,0
1789511402.1,http://10.100.2.6:8000,0.1551,0.0,61189,0,1002490,19216,6,32,2181123,2181123,0,0
1789511402.1,http://10.100.3.5:8000,0.127,0.0,61324,0,1003788,19008,5,33,2250726,2250726,0,17586
1789511404.1,http://10.100.15.12:8000,0.131,,0,0,1158376953,1062381280,5,33,2187995,2187995,0,0
1789511404.1,http://10.100.2.5:8000,0.1311,,0,0,1003449,19568,5,32,2128379,2128379,0,0
1789511404.1,http://10.100.2.6:8000,0.1551,,0,0,1002490,19216,6,32,2186353,2186353,0,0
1789511404.1,http://10.100.3.5:8000,0.127,,0,0,1003788,19008,5,33,2194652,2194652,0,0
1789511406.2,http://10.100.15.12:8000,0.1495,0.0,183847,0,1158560800,1062381280,6,31,2193227,2193227,0,0
1789511406.2,http://10.100.2.5:8000,0.1496,0.0,183419,0,1186868,19568,6,30,2194983,2194983,0,0
1789511406.2,http://10.100.2.6:8000,0.1462,0.0,183732,0,1186222,19216,6,30,2196909,2135610,61299,0
1789511406.2,http://10.100.3.5:8000,0.1456,0.0,183740,0,1187528,19008,6,31,2199853,2199853,0,0
1789511408.2,http://10.100.15.12:8000,0.1495,,0,0,1158560800,1062381280,6,31,2198450,2137158,61292,0
1789511408.2,http://10.100.2.5:8000,0.1496,,0,0,1186868,19568,6,30,2138847,2138847,0,0
1789511408.2,http://10.100.2.6:8000,0.1462,,0,0,1186222,19216,6,30,2201889,2140779,61110,0
1789511408.2,http://10.100.3.5:8000,0.1456,,0,0,1187528,19008,6,31,2087732,2087732,0,0
1789511410.2,http://10.100.15.12:8000,0.1496,0.0,122345,0,1158683145,1062381280,6,31,2203659,2203659,0,0
1789511410.2,http://10.100.2.5:8000,0.1151,0.0,122428,0,1309296,19568,5,30,2026724,2026724,0,0
1789511410.2,http://10.100.2.6:8000,0.1628,0.0,61184,0,1247406,19216,6,32,2207268,2146046,61222,0
1789511410.2,http://10.100.3.5:8000,0.1111,0.0,122443,0,1309971,19008,5,30,2031868,2031868,0,0
1789511412.2,http://10.100.15.12:8000,0.1369,0.0,61213,0,1158744358,1062381280,6,31,2214144,2214144,0,0
1789511412.2,http://10.100.2.5:8000,0.137,0.0,61129,0,1370425,19568,6,29,2210616,2210616,0,0
1789511412.2,http://10.100.2.6:8000,0.161,0.0,61145,0,1308551,19216,6,32,2212529,2212529,0,0
1789511412.2,http://10.100.3.5:8000,0.133,,0,0,1309971,19008,5,30,2215687,2215687,0,0
1789511414.2,http://10.100.15.12:8000,0.1369,,0,0,1158744358,1062381280,6,31,2214144,2214144,0,0
1789511414.2,http://10.100.2.5:8000,0.137,,0,0,1370425,19568,6,29,2154577,2154577,0,0
1789511414.2,http://10.100.2.6:8000,0.161,,0,0,1308551,19216,6,32,2223007,2223007,0,0
1789511414.2,http://10.100.3.5:8000,0.133,,0,0,1309971,19008,5,30,2215687,2215687,0,0
1789511416.3,http://10.100.15.12:8000,0.159,0.0,122382,0,1158866740,1062381280,6,32,2219443,2219443,0,0
1789511416.3,http://10.100.2.5:8000,0.1865,0.0,122393,0,1492818,19568,7,30,2215769,2215769,0,0
1789511416.3,http://10.100.2.6:8000,0.1559,0.0,183556,0,1492107,19216,6,32,2223007,2223007,0,0
1789511416.3,http://10.100.3.5:8000,0.21,0.0,183598,0,1493569,19008,8,30,2215687,2215687,0,0
1789511418.3,http://10.100.15.12:8000,0.159,,0,0,1158866740,1062381280,6,32,2219443,2219443,0,0
1789511418.3,http://10.100.2.5:8000,0.1865,,0,0,1492818,19568,7,30,2047700,2047700,0,0
1789511418.3,http://10.100.2.6:8000,0.1559,,0,0,1492107,19216,6,32,2228274,2228274,0,0
1789511418.3,http://10.100.3.5:8000,0.21,,0,0,1493569,19008,8,30,2103452,2103452,0,0
1789511420.3,http://10.100.15.12:8000,0.1865,0.0,122467,0,1158989207,1062381280,7,30,2224649,2224649,0,0
1789511420.3,http://10.100.2.5:8000,0.1247,0.0,122797,0,1615615,19568,5,29,1991641,1991641,0,0
1789511420.3,http://10.100.2.6:8000,0.1177,0.0,122399,0,1614506,19216,5,31,2238743,2238743,0,5503
1789511420.3,http://10.100.3.5:8000,0.2027,0.0,122530,0,1616099,19008,8,28,1991366,1991366,0,0
1789511422.3,http://10.100.15.12:8000,0.1501,0.0,61113,0,1159050320,1062381280,6,30,2184085,2122852,61233,0
1789511422.3,http://10.100.2.5:8000,0.1504,0.0,61243,0,1676858,19568,6,28,2175568,2175568,0,0
1789511422.3,http://10.100.2.6:8000,0.1433,0.0,61299,0,1675805,19216,6,32,2238743,2238743,0,5503
1789511422.3,http://10.100.3.5:8000,0.1462,0.0,61276,0,1677375,19008,6,27,2180453,2180453,0,0
1789511424.3,http://10.100.15.12:8000,0.1501,,0,0,1159050320,1062381280,6,30,2184146,2184146,0,0
1789511424.3,http://10.100.2.5:8000,0.1504,,0,0,1676858,19568,6,28,2063495,2063495,0,0
