program_id,turn,status,latency_s,prompt_tokens,completion_tokens
bench-ab-20260915-205919-tr-nodecay-s000,0,200,10.472,61284,36
bench-ab-20260915-205919-tr-nodecay-s000,1,200,90.348,61349,73
bench-ab-20260915-205919-tr-nodecay-s000,2,200,1844.793,61451,45
bench-ab-20260915-205919-tr-nodecay-s001,0,200,11.178,61059,32
bench-ab-20260915-205919-tr-nodecay-s001,1,200,92.262,61120,75
bench-ab-20260915-205919-tr-nodecay-s001,2,200,44.679,61224,62
bench-ab-20260915-205919-tr-nodecay-s002,0,200,14.356,61317,37
bench-ab-20260915-205919-tr-nodecay-s002,1,200,99.29,61383,80
bench-ab-20260915-205919-tr-nodecay-s002,2,200,33.751,61493,36
bench-ab-20260915-205919-tr-nodecay-s003,0,200,19.489,61360,51
bench-ab-20260915-205919-tr-nodecay-s003,1,200,102.708,61440,68
bench-ab-20260915-205919-tr-nodecay-s003,2,200,25.693,61537,65
bench-ab-20260915-205919-tr-nodecay-s004,0,200,16.489,61301,31
bench-ab-20260915-205919-tr-nodecay-s004,1,200,80.615,61361,45
bench-ab-20260915-205919-tr-nodecay-s004,2,200,50.24,61435,50
bench-ab-20260915-205919-tr-nodecay-s005,0,200,19.234,61056,36
bench-ab-20260915-205919-tr-nodecay-s005,1,200,76.579,61121,26
bench-ab-20260915-205919-tr-nodecay-s005,2,200,50.766,61176,28
bench-ab-20260915-205919-tr-nodecay-s006,0,200,20.026,61033,31
bench-ab-20260915-205919-tr-nodecay-s006,1,200,81.517,61093,41
bench-ab-20260915-205919-tr-nodecay-s006,2,200,45.218,61163,39
bench-ab-20260915-205919-tr-nodecay-s007,0,200,21.857,61210,32
bench-ab-20260915-205919-tr-nodecay-s007,1,200,71.705,61271,25
bench-ab-20260915-205919-tr-nodecay-s007,2,200,53.073,61325,40
bench-ab-20260915-205919-tr-nodecay-s008,0,200,23.577,61147,31
bench-ab-20260915-205919-tr-nodecay-s008,1,200,85.293,61207,49
bench-ab-20260915-205919-tr-nodecay-s008,2,200,38.2,61285,52
bench-ab-20260915-205919-tr-nodecay-s009,0,200,27.355,61284,40
bench-ab-20260915-205919-tr-nodecay-s009,1,200,79.626,61353,49
bench-ab-20260915-205919-tr-nodecay-s009,2,200,39.78,61431,44
bench-ab-20260915-205919-tr-nodecay-s010,0,200,27.947,61477,35
