program_id,turn,status,latency_s,prompt_tokens,completion_tokens
bench-ab-20260915-205919-default-s029,2,200,157.18,61467,80
bench-ab-20260915-205919-default-s030,0,200,63.12,61216,36
bench-ab-20260915-205919-default-s030,1,200,154.123,61281,51
bench-ab-20260915-205919-default-s030,2,200,151.733,61361,41
bench-ab-20260915-205919-default-s031,0,200,64.285,61328,33
bench-ab-20260915-205919-default-s031,1,200,159.752,61390,56
bench-ab-20260915-205919-default-s031,2,200,154.951,61475,66
bench-ab-20260915-205919-default-s032,0,200,63.95,61192,25
bench-ab-20260915-205919-default-s032,1,200,153.944,61246,39
bench-ab-20260915-205919-default-s032,2,200,153.103,61314,43
bench-ab-20260915-205919-default-s033,0,200,67.286,61314,30
bench-ab-20260915-205919-default-s033,1,200,156.5,61373,49
bench-ab-20260915-205919-default-s033,2,200,150.185,61451,40
bench-ab-20260915-205919-default-s034,0,200,68.566,61117,29
bench-ab-20260915-205919-default-s034,1,200,157.697,61175,51
bench-ab-20260915-205919-default-s034,2,200,158.73,61255,75
bench-ab-20260915-205919-default-s035,0,200,71.101,61247,31
bench-ab-20260915-205919-default-s035,1,200,160.461,61307,65
bench-ab-20260915-205919-default-s035,2,200,155.551,61401,54
bench-ab-20260915-205919-default-s036,0,200,73.119,61080,33
bench-ab-20260915-205919-default-s036,1,200,156.836,61142,51
bench-ab-20260915-205919-default-s036,2,200,159.717,61222,80
bench-ab-20260915-205919-default-s037,0,200,76.746,61049,40
bench-ab-20260915-205919-default-s037,1,200,150.925,61118,36
bench-ab-20260915-205919-default-s037,2,200,153.628,61183,56
bench-ab-20260915-205919-default-s038,0,200,81.257,61161,51
bench-ab-20260915-205919-default-s038,1,200,151.68,61241,34
bench-ab-20260915-205919-default-s038,2,200,152.376,61304,42
bench-ab-20260915-205919-default-s039,0,200,79.342,61138,36
bench-ab-20260915-205919-default-s039,1,200,150.604,61203,37
bench-ab-20260915-205919-default-s039,2,200,152.759,61269,47
bench-ab-20260915-205919-default-s040,0,200,80.691,61051,35
bench-ab-20260915-205919-default-s040,1,200,158.144,61115,66
bench-ab-20260915-205919-default-s040,2,200,154.248,61210,50
bench-ab-20260915-205919-default-s041,0,200,81.941,61122,33
bench-ab-20260915-205919-default-s041,1,200,155.948,61184,48
